ID,Name,Nationality,Overall,Potential,Club
193041,K. Navas,Costa Rica,85,85,Real Madrid CF
192883,H. Mkhitaryan,Armenia,85,85,Manchester United
192593,D. Subašić,Croatia,85,85,AS Monaco
192563,B. Leno,Germany,85,88,Bayer 04 Leverkusen
192448,M. ter Stegen,Germany,85,89,FC Barcelona
190547,K. Glik,Poland,85,85,AS Monaco
189332,Jordi Alba,Spain,85,85,FC Barcelona
186942,I. Gündoğan,Germany,85,87,Manchester City
184432,Azpilicueta,Spain,85,87,Chelsea
183898,A. Di María,Argentina,85,85,Paris Saint-Germain
180206,M. Pjanić,Bosnia Herzegovina,85,86,Juventus
173210,C. Marchisio,Italy,85,85,Juventus
172871,J. Vertonghen,Belgium,85,85,Tottenham Hotspur
170890,B. Matuidi,France,85,85,Juventus
167628,S. Ruffier,France,85,85,AS Saint-Étienne
164169,Filipe Luís,Brazil,85,85,Atlético Madrid
139720,V. Kompany,Belgium,85,85,Manchester City
137186,A. Barzagli,Italy,85,85,Juventus
225508,E. Bailly,Ivory Coast,84,89,Manchester United
220834,Marco Asensio,Spain,84,92,Real Madrid CF
218667,Bernardo Silva,Portugal,84,91,Manchester City
212218,A. Laporte,France,84,89,Athletic Club de Bilbao
211117,D. Alli,England,84,90,Tottenham Hotspur
208722,S. Mané,Senegal,84,87,Liverpool
204963,Carvajal,Spain,84,87,Real Madrid CF
202166,J. Draxler,Germany,84,87,Paris Saint-Germain
201399,M. Icardi,Argentina,84,89,Inter
201153,Morata,Spain,84,88,Chelsea
201024,K. Koulibaly,Senegal,84,87,Napoli
200316,T. Horn,Germany,84,90,1. FC Köln
193747,Koke,Spain,84,88,Atlético Madrid
192774,K. Manolas,Greece,84,86,Roma
192227,S. Mustafi,Germany,84,86,Arsenal
191740,Ander Herrera,Spain,84,84,Manchester United
189712,K. Strootman,Netherlands,84,85,Roma
189505,Pedro,Spain,84,84,Chelsea
189117,R. Bürki,Switzerland,84,86,Borussia Dortmund
184120,Bruno,Spain,84,84,Villarreal CF
181458,I. Perišić,Croatia,84,84,Inter
180930,E. Džeko,Bosnia Herzegovina,84,84,Roma
180403,Willian,Brazil,84,84,Chelsea
179846,S. Khedira,Germany,84,84,Juventus
179783,R. Fährmann,Germany,84,85,FC Schalke 04
178750,Sergio Asenjo,Spain,84,85,Villarreal CF
178088,Juan Mata,Spain,84,84,Manchester United
177509,M. Benatia,Morocco,84,84,Juventus
177388,D. Payet,France,84,84,Olympique de Marseille
167397,Falcao,Colombia,84,84,AS Monaco
165229,L. Koscielny,France,84,84,Arsenal
164468,G. Cahill,England,84,84,Chelsea
146530,Dani Alves,Brazil,84,84,Paris Saint-Germain
143076,A. Gómez,Argentina,84,84,Atalanta
106231,Aduriz,Spain,84,84,Athletic Club de Bilbao
231747,K. Mbappé,France,83,94,Paris Saint-Germain
231443,O. Dembélé,France,83,92,FC Barcelona
220971,N. Keïta,Guinea,83,88,RB Leipzig
216460,J. Giménez,Uruguay,83,87,Atlético Madrid
215316,G. Rulli,Argentina,83,89,Real Sociedad
213565,T. Lemar,France,83,91,AS Monaco
212814,João Mário,Portugal,83,88,Inter
212190,N. Süle,Germany,83,89,FC Bayern Munich
210257,Ederson,Brazil,83,89,Manchester City
209499,Fabinho,Brazil,83,88,AS Monaco
209331,M. Salah,Egypt,83,86,Liverpool
208596,A. Belotti,Italy,83,90,Torino
208448,E. Forsberg,Sweden,83,85,RB Leipzig
207865,Marquinhos,Brazil,83,89,Paris Saint-Germain
207566,William Carvalho,Portugal,83,86,Sporting CP
205600,S. Umtiti,France,83,88,FC Barcelona
204485,R. Mahrez,Algeria,83,84,Leicester City
203376,V. van Dijk,Netherlands,83,86,Southampton
201942,Roberto Firmino,Brazil,83,87,Liverpool
200888,Danilo Pereira,Portugal,83,86,FC Porto
199715,Vitolo,Spain,83,83,UD Las Palmas
199482,A. Lopes,Portugal,83,86,Olympique Lyonnais
198176,S. de Vrij,Netherlands,83,88,Lazio
198009,M. Perin,Italy,83,88,Genoa
197061,J. Matip,Cameroon,83,85,Liverpool
193474,I. Gueye,Senegal,83,84,Everton
192629,Iago Aspas,Spain,83,83,RC Celta de Vigo
192366,N. Otamendi,Argentina,83,83,Manchester City
191202,N. Matić,Serbia,83,83,Manchester United
191180,J. Pastore,Argentina,83,83,Paris Saint-Germain
189513,Parejo,Spain,83,83,Valencia CF
189358,S. Kagawa,Japan,83,83,Borussia Dortmund
189125,G. Bonaventura,Italy,83,83,Milan
189068,B. Dost,Netherlands,83,83,Sporting CP
188377,K. Walker,England,83,84,Manchester City
188152,Oscar,Brazil,83,86,
187936,S. N'Zonzi,France,83,83,Sevilla FC
186547,M. Musacchio,Argentina,83,86,Milan
185239,O. Toprak,Turkey,83,84,Borussia Dortmund
185020,José Callejón,Spain,83,83,Napoli
184826,Adrien Silva,Portugal,83,83,
184431,S. Giovinco,Italy,83,83,Toronto FC
184144,N. Gaitán,Argentina,83,83,Atlético Madrid
181783,M. Mandžukić,Croatia,83,83,Juventus
180819,A. Lallana,England,83,83,Liverpool
179784,B. Höwedes,Germany,83,83,Juventus
178562,E. Banega,Argentina,83,83,Sevilla FC
178005,Rui Patrício,Portugal,83,83,Sporting CP
177683,Y. Sommer,Switzerland,83,84,Borussia Mönchengladbach
177358,M. Schneiderlin,France,83,85,Everton
176769,Jonas,Brazil,83,83,SL Benfica
176600,K. Gameiro,France,83,83,Atlético Madrid
173771,L. Piszczek,Poland,83,83,Borussia Dortmund
170481,E. Garay,Argentina,83,83,Valencia CF
167905,A. Valencia,Ecuador,83,83,Manchester United
163587,K. Schmeichel,Denmark,83,84,Leicester City
162240,M. Dembélé,Belgium,83,83,Tottenham Hotspur
161956,Borja Valero,Spain,83,83,Inter
159147,L. Perrin,France,83,83,AS Saint-Étienne
158963,L. Biglia,Argentina,83,83,Milan
146760,Juanfran,Spain,83,83,Atlético Madrid
146748,Diego López,Spain,83,83,RCD Espanyol
146562,Santi Cazorla,Spain,83,83,Arsenal
142754,J. Mascherano,Argentina,83,83,FC Barcelona
139869,W. Sneijder,Netherlands,83,83,OGC Nice
139068,Nani,Portugal,83,83,Lazio
53302,D. De Rossi,Italy,83,83,Roma
24630,José Reina,Spain,83,83,Napoli
20775,Quaresma,Portugal,83,83,Beşiktaş JK
20289,Y. Touré,Ivory Coast,83,83,Manchester City
5479,Casillas,Spain,83,83,FC Porto
230621,G. Donnarumma,Italy,82,94,Milan
222492,L. Sané,Germany,82,91,Manchester City
219809,T. Bakayoko,France,82,88,Chelsea
219683,C. Tolisso,France,82,89,FC Bayern Munich
217699,I. Slimani,Algeria,82,82,Leicester City
216594,N. Fekir,France,82,85,Olympique Lyonnais
216451,J. Seri,Ivory Coast,82,83,OGC Nice
215785,K. Baldé Diao,Senegal,82,90,AS Monaco
213331,J. Tah,Germany,82,88,Bayer 04 Leverkusen
212404,F. Bernardeschi,Italy,82,88,Juventus
212188,T. Werner,Germany,82,87,RB Leipzig
211575,André Gomes,Portugal,82,88,FC Barcelona
211300,A. Martial,France,82,90,Manchester United
209658,L. Goretzka,Germany,82,88,FC Schalke 04
208808,Q. Promes,Netherlands,82,85,Spartak Moscow
208618,Lucas Vázquez,Spain,82,83,Real Madrid CF
208421,Saúl,Spain,82,90,Atlético Madrid
207863,Felipe,Brazil,82,82,FC Porto
207664,C. Bacca,Colombia,82,82,Villarreal CF
207471,F. Vázquez,Italy,82,82,Sevilla FC
207410,M. Kovačić,Croatia,82,88,Real Madrid CF
206652,Sergio Rico,Spain,82,87,Sevilla FC
206545,Manu Trigueros,Spain,82,85,Villarreal CF
205452,A. Rüdiger,Germany,82,86,Chelsea
204970,F. Thauvin,France,82,85,Olympique de Marseille
204639,S. Savić,Montenegro,82,86,Atlético Madrid
204525,Iñigo Martínez,Spain,82,86,Real Sociedad
204277,Roque Mesa,Spain,82,82,Swansea City
203551,A. Florenzi,Italy,82,84,Roma
203483,D. Klaassen,Netherlands,82,85,Everton
202857,K. Bellarabi,Germany,82,82,Bayer 04 Leverkusen
202652,R. Sterling,England,82,87,Manchester City
202651,Suso,Spain,82,87,Milan
202477,Deulofeu,Spain,82,89,FC Barcelona
202335,E. Dier,England,82,87,Tottenham Hotspur
201862,M. Rojo,Argentina,82,83,Manchester United
200949,Lucas,Brazil,82,85,Paris Saint-Germain
200104,H. Son,Korea Republic,82,85,Tottenham Hotspur
199845,F. Acerbi,Italy,82,82,Sassuolo
199503,G. Xhaka,Switzerland,82,85,Arsenal
198164,Jonathan Viera,Spain,82,82,UD Las Palmas
197965,Pizzi,Portugal,82,82,SL Benfica
195093,Willian José,Brazil,82,86,Real Sociedad
193698,O. Baumann,Germany,82,84,TSG 1899 Hoffenheim
193532,G. Medel,Chile,82,82,Beşiktaş JK
193469,Víctor Ruíz,Spain,82,83,Villarreal CF
193348,X. Shaqiri,Switzerland,82,85,Stoke City
193082,J. Cuadrado,Colombia,82,82,Juventus
192387,C. Immobile,Italy,82,83,Lazio
190483,Douglas Costa,Brazil,82,82,Juventus
190456,N. Clyne,England,82,84,Liverpool
189560,Iborra,Spain,82,82,Leicester City
188943,K. Trapp,Germany,82,84,Paris Saint-Germain
188942,V. Wanyama,Kenya,82,85,Tottenham Hotspur
188803,Taison,Brazil,82,82,Shakhtar Donetsk
187754,Marlos,Brazil,82,82,Shakhtar Donetsk
187072,L. Stindl,Germany,82,82,Borussia Mönchengladbach
186627,M. Balotelli,Italy,82,82,OGC Nice
186561,A. Ramsey,Wales,82,83,Arsenal
186153,W. Szczęsny,Poland,82,84,Juventus
184484,G. Sigurðsson,Iceland,82,82,Everton
184267,Y. Brahimi,Algeria,82,82,FC Porto
184200,M. Arnautović,Austria,82,82,West Ham United
183711,J. Henderson,England,82,84,Liverpool
183574,M. Kruse,Germany,82,82,SV Werder Bremen
183497,O. Karnezis,Greece,82,82,Watford
183376,L. Fejsa,Serbia,82,82,SL Benfica
182494,F. Muslera,Uruguay,82,82,Galatasaray SK
181786,V. Ćorluka,Croatia,82,82,Lokomotiv Moscow
181291,G. Wijnaldum,Netherlands,82,85,Liverpool
179847,F. Fazio,Argentina,82,82,Roma
178509,O. Giroud,France,82,82,Arsenal
178372,B. Ivanović,Serbia,82,82,Zenit St. Petersburg
178224,J. Hernández,Mexico,82,82,West Ham United
177600,Beñat,Spain,82,82,Athletic Club de Bilbao
177457,L. Bender,Germany,82,83,Bayer 04 Leverkusen
177413,A. Witsel,Belgium,82,82,
174543,C. Bravo,Chile,82,82,Manchester City
172723,A. Begović,Bosnia Herzegovina,82,82,Bournemouth
171919,Naldo,Brazil,82,82,FC Schalke 04
171833,D. Sturridge,England,82,82,Liverpool
169595,D. Rose,England,82,83,Tottenham Hotspur
169416,C. Vela,Mexico,82,82,Real Sociedad
168354,E. Viviano,Italy,82,82,Sampdoria
167431,G. Castro,Germany,82,82,Borussia Dortmund
165239,S. Nasri,France,82,82,Antalyaspor
163824,A. Williams,Wales,82,82,Everton
163705,S. Mandanda,France,82,82,Olympique de Marseille
163631,L. Baines,England,82,82,Everton
163489,A. Consigli,Italy,82,82,Sassuolo
162347,João Moutinho,Portugal,82,82,AS Monaco
158121,B. Costil,France,82,82,Girondins de Bordeaux
157481,Raúl Albiol,Spain,82,82,Napoli
150724,J. Hart,England,82,82,West Ham United
150418,M. Gómez,Germany,82,82,VfL Wolfsburg
144622,Raffael,Brazil,82,82,Borussia Mönchengladbach
143745,A. Turan,Turkey,82,82,FC Barcelona
135507,Fernandinho,Brazil,82,82,Manchester City
113422,David Villa,Spain,82,82,New York City Football Club
108080,S. Lichtsteiner,Switzerland,82,82,Juventus
104389,R. Jarstein,Norway,82,82,Hertha BSC Berlin
230666,Gabriel Jesus,Brazil,81,92,Manchester City
227928,Nélson Semedo,Portugal,81,87,FC Barcelona
227055,Gelson Martins,Portugal,81,88,Sporting CP
222737,Malcom,Brazil,81,87,Girondins de Bordeaux
222028,J. Weigl,Germany,81,87,Borussia Dortmund
220793,D. Sánchez,Colombia,81,88,Tottenham Hotspur
216354,A. Kramarić,Croatia,81,83,TSG 1899 Hoffenheim
216352,M. Brozović,Croatia,81,85,Inter
216201,Williams,Spain,81,87,Athletic Club de Bilbao
216194,Dani García,Spain,81,82,SD Eibar
213661,A. Christensen,Denmark,81,89,Chelsea
212622,J. Kimmich,Germany,81,87,FC Bayern Munich
211368,Bruma,Portugal,81,86,RB Leipzig
210935,D. Berardi,Italy,81,87,Sassuolo
210896,M. Sanson,France,81,87,Olympique de Marseille
210008,A. Rabiot,France,81,86,Paris Saint-Germain
209889,R. Guerreiro,Portugal,81,86,Borussia Dortmund
208830,J. Vardy,England,81,81,Leicester City
208670,H. Ziyech,Morocco,81,85,Ajax
207599,M. Keane,England,81,87,Everton
205498,Jorginho,Italy,81,84,Napoli
203747,Héctor Bellerín,Spain,81,88,Arsenal
203042,J. Butland,England,81,87,Stoke City
202685,S. Zaza,Italy,81,82,Valencia CF
202371,T. Meunier,Belgium,81,84,Paris Saint-Germain
201995,Felipe Anderson,Brazil,81,86,Lazio
201400,Rafinha,Brazil,81,86,FC Barcelona
200724,Nacho Fernández,Spain,81,83,Real Madrid CF
199987,J. Cillessen,Netherlands,81,83,FC Barcelona
199564,Sergi Roberto,Spain,81,86,FC Barcelona
199451,W. Ben Yedder,France,81,82,Sevilla FC
199354,Lucas Pérez,Spain,81,81,RC Deportivo de La Coruña
199189,R. Barkley,England,81,86,Everton
198951,C. Bakambu,DR Congo,81,84,Villarreal CF
198717,W. Zaha,Ivory Coast,81,84,Crystal Palace
198141,Bartra,Spain,81,83,Borussia Dortmund
197853,S. Aurier,Ivory Coast,81,85,Tottenham Hotspur
197655,S. Coates,Uruguay,81,83,Sporting CP
197242,G. Krychowiak,Poland,81,83,West Bromwich Albion
195365,K. Kampl,Slovenia,81,83,RB Leipzig
195086,D. Lovren,Croatia,81,83,Liverpool
194794,A. Yarmolenko,Ukraine,81,81,Borussia Dortmund
193738,Y. Belhanda,Morocco,81,81,Galatasaray SK
193525,Mário Fernandes,Russia,81,82,CSKA Moscow
193352,R. Rodríguez,Switzerland,81,84,Milan
193165,J. Corona,Mexico,81,85,FC Porto
192789,Mario Gaspar,Spain,81,84,Villarreal CF
192638,Marcos Alonso,Spain,81,83,Chelsea
192318,M. Götze,Germany,81,85,Borussia Dortmund
190941,L. Hrádecký,Finland,81,83,Eintracht Frankfurt
190584,Illarramendi,Spain,81,81,Real Sociedad
190149,De Marcos,Spain,81,81,Athletic Club de Bilbao
189881,C. Smalling,England,81,82,Manchester United
189574,Iturraspe,Spain,81,81,Athletic Club de Bilbao
189461,J. Wilshere,England,81,84,Arsenal
189251,S. Rudy,Germany,81,82,FC Bayern Munich
188988,M. Lanzini,Argentina,81,87,West Ham United
188388,R. Boudebouz,Algeria,81,82,Real Betis Balompié
188005,Camacho,Spain,81,84,VfL Wolfsburg
187961,Paulinho,Brazil,81,81,FC Barcelona
185431,N. Kalinić,Croatia,81,81,Milan
184942,Giuliano,Brazil,81,82,Fenerbahçe SK
184111,C. Benteke,Belgium,81,83,Crystal Palace
183900,D. Perotti,Argentina,81,81,Roma
183498,M. Parolo,Italy,81,81,Lazio
183483,K. Mitroglou,Greece,81,81,Olympique de Marseille
183285,M. Sakho,France,81,82,Crystal Palace
183280,A. Rami,France,81,81,Olympique de Marseille
181820,S. Jovetić,Montenegro,81,82,AS Monaco
180216,S. Coleman,Republic of Ireland,81,81,Everton
179645,S. Kjær,Denmark,81,82,Sevilla FC
178086,Adán,Spain,81,81,Real Betis Balompié
177326,M. Valbuena,France,81,81,Fenerbahçe SK
173426,S. Mignolet,Belgium,81,81,Liverpool
173198,D. Astori,Italy,81,81,Fiorentina
172175,K. Mirallas,Belgium,81,81,Everton
171579,Raúl García,Spain,81,81,Athletic Club de Bilbao
166706,M. Škrtel,Slovakia,81,81,Fenerbahçe SK
163264,T. Heaton,England,81,81,Burnley
161648,H. Ben Arfa,France,81,81,Paris Saint-Germain
158625,Dante,Brazil,81,81,OGC Nice
153244,A. Gignac,France,81,81,Tigres U.A.N.L.
146954,Gabi,Spain,81,81,Atlético Madrid
142780,G. Rodríguez,Argentina,81,81,San Lorenzo de Almagro
139997,D. Srna,Croatia,81,81,Shakhtar Donetsk
121944,B. Schweinsteiger,Germany,81,81,Chicago Fire Soccer Club
116494,C. Carrasso,France,81,81,Galatasaray SK
110677,Moyá,Spain,81,81,Atlético Madrid
54050,W. Rooney,England,81,81,Everton
53612,P. Mertesacker,Germany,81,81,Arsenal
49370,T. Motta,Italy,81,81,Paris Saint-Germain
49369,Fernando Torres,Spain,81,81,Atlético Madrid
9676,S. Eto'o,Cameroon,81,81,Antalyaspor
231677,M. Rashford,England,80,89,Manchester United
223848,S. Milinković-Savić,Serbia,80,86,Lazio
216393,Y. Tielemans,Belgium,80,90,AS Monaco
215792,Jemerson,Brazil,80,86,AS Monaco
213296,N. Bentaleb,Algeria,80,85,FC Schalke 04
212831,Alisson,Brazil,80,84,Roma
212462,Alex Telles,Brazil,80,84,FC Porto
212194,J. Brandt,Germany,80,88,Bayer 04 Leverkusen
211748,K. Demirbay,Germany,80,84,TSG 1899 Hoffenheim
211320,D. Rugani,Italy,80,88,Juventus
210617,Samu Castillejo,Spain,80,85,Villarreal CF
210406,P. Zieliński,Poland,80,87,Napoli
210243,Ricardo Pereira,Portugal,80,86,FC Porto
210035,Grimaldo,Spain,80,87,SL Benfica
209297,Fred,Brazil,80,85,Shakhtar Donetsk
208334,J. Hector,Germany,80,81,1. FC Köln
208333,E. Can,Germany,80,85,Liverpool
207993,S. Kolašinac,Bosnia Herzegovina,80,83,Arsenal
206585,Arrizabalaga,Spain,80,87,Athletic Club de Bilbao
206467,A. Pléa,France,80,86,OGC Nice
206413,T. Stepanenko,Ukraine,80,81,Shakhtar Donetsk
206273,O. Shatov,Russia,80,80,Zenit St. Petersburg
205976,Leo Baptistao,Brazil,80,83,RCD Espanyol
205362,M. Nastasić,Serbia,80,84,FC Schalke 04
205192,Denis Suárez,Spain,80,87,FC Barcelona
204529,M. Batshuayi,Belgium,80,85,Chelsea
204082,J. Brooks,United States,80,85,VfL Wolfsburg
203888,Eric Botteghin,Brazil,80,80,Feyenoord
203775,L. Karius,Germany,80,84,Liverpool
203486,T. Hazard,Belgium,80,84,Borussia Mönchengladbach
203280,V. Germain,France,80,80,Olympique de Marseille
201510,L. Kurzawa,France,80,85,Paris Saint-Germain
200647,J. Iličić,Slovenia,80,80,Atalanta
200610,K. Volland,Germany,80,83,Bayer 04 Leverkusen
199914,Allan,Brazil,80,82,Napoli
199827,P. Hernández,Chile,80,80,RC Celta de Vigo
199434,D. Tadić,Serbia,80,80,Southampton
199110,L. Muriel,Colombia,80,83,Sevilla FC
198950,Pablo Sarabia,Spain,80,83,Sevilla FC
198784,A. Oxlade-Chamberlain,England,80,85,Liverpool
198118,J. Guilavogui,France,80,82,VfL Wolfsburg
196934,O. Özyakup,Turkey,80,85,Beşiktaş JK
195861,Y. Rakitskyi,Ukraine,80,82,Shakhtar Donetsk
194879,Sergi Enrich,Spain,80,81,SD Eibar
194404,Neto,Brazil,80,80,Valencia CF
194229,Hugo Mallo,Spain,80,83,RC Celta de Vigo
193886,D. Didavi,Germany,80,81,VfL Wolfsburg
193361,R. Soriano,Italy,80,81,Villarreal CF
193130,A. Schürrle,Germany,80,81,Borussia Dortmund
193116,M. Gonalons,France,80,80,Roma
193061,R. Pereyra,Argentina,80,83,Watford
192641,K. Vogt,Germany,80,82,TSG 1899 Hoffenheim
192492,F. Orellana,Chile,80,80,Valencia CF
191687,Maicon,Brazil,80,80,Galatasaray SK
190972,E. Salvio,Argentina,80,80,SL Benfica
190815,D. Blind,Netherlands,80,81,Manchester United
190813,S. El Shaarawy,Italy,80,83,Roma
190717,M. Antonio,England,80,81,West Ham United
190264,Iago Falqué,Spain,80,80,Torino
189250,S. Rondón,Venezuela,80,80,West Bromwich Albion
189156,Daniel Carriço,Portugal,80,81,Sevilla FC
188802,M. Schmelzer,Germany,80,80,Borussia Dortmund
188253,J. McCarthy,Republic of Ireland,80,83,Everton
187735,A. Dzagoev,Russia,80,81,CSKA Moscow
187688,Ganso,Brazil,80,81,Sevilla FC
187491,F. Smolov,Russia,80,81,FC Krasnodar
186146,D. Welbeck,England,80,81,Arsenal
185221,Luiz Gustavo,Brazil,80,80,Olympique de Marseille
185132,Mikel San José,Spain,80,80,Athletic Club de Bilbao
184392,M. Darmian,Italy,80,81,Manchester United
184190,R. Thomas,France,80,80,Angers SCO
183909,I. Traoré,Guinea,80,80,Borussia Mönchengladbach
182002,Sidnei,Brazil,80,82,RC Deportivo de La Coruña
178416,J. Lens,Netherlands,80,80,Beşiktaş JK
178311,Eder,Italy,80,80,Inter
177644,Kiko Casilla,Spain,80,80,Real Madrid CF
177604,Nacho Monreal,Spain,80,80,Arsenal
177458,S. Bender,Germany,80,81,Bayer 04 Leverkusen
176930,M. Díaz,Chile,80,80,U.N.A.M.
176915,A. Fernández,Argentina,80,80,Atlético Madrid
176733,M. Berg,Sweden,80,80,
176376,I. Piatti,Argentina,80,80,Montreal Impact
176104,V. Birsa,Slovenia,80,80,Chievo Verona
175379,Pedro León,Spain,80,80,SD Eibar
173909,K. Boateng,Ghana,80,80,Eintracht Frankfurt
173521,Marcano,Spain,80,80,FC Porto
173432,H. Moreno,Mexico,80,80,Roma
173373,S. Romero,Argentina,80,80,Manchester United
173221,A. Candreva,Italy,80,80,Inter
173208,D. Criscito,Italy,80,80,Zenit St. Petersburg
172522,D. Wass,Denmark,80,80,RC Celta de Vigo
172316,Coke,Spain,80,80,FC Schalke 04
171897,A. Guardado,Mexico,80,80,Real Betis Balompié
170370,J. dos Santos,Mexico,80,81,LA Galaxy
170368,E. Lamela,Argentina,80,83,Tottenham Hotspur
169705,R. Bertrand,England,80,80,Southampton
169195,Renato Augusto,Brazil,80,80,
168530,Jardel,Brazil,80,80,SL Benfica
167553,V. Denisov,Uzbekistan,80,80,Lokomotiv Moscow
167514,D. Basta,Serbia,80,80,Lazio
165536,G. Cabral,Argentina,80,80,RC Celta de Vigo
165526,G. Paletta,Italy,80,80,Milan
164859,T. Walcott,England,80,80,Arsenal
164835,L. Fabiański,Poland,80,80,Swansea City
163155,B. Foster,England,80,80,West Bromwich Albion
162369,V. Ibišević,Bosnia Herzegovina,80,80,Hertha BSC Berlin
162329,K. El Ahmadi,Morocco,80,80,Feyenoord
158232,S. Kalou,Ivory Coast,80,80,Hertha BSC Berlin
157960,Manuel Fernandes,Portugal,80,80,Lokomotiv Moscow
156713,A. Granqvist,Sweden,80,80,FC Krasnodar
150516,L. Podolski,Germany,80,80,Vissel Kobe
146460,Javi Fuego,Spain,80,80,RCD Espanyol
143587,F. Belluschi,Argentina,80,80,San Lorenzo de Almagro
140293,A. Mirante,Italy,80,80,Bologna
139968,V. Enyeama,Nigeria,80,80,LOSC Lille
139668,F. Marchetti,Italy,80,80,Lazio
138449,Kaká,Brazil,80,80,Orlando City Soccer Club
138412,J. Milner,England,80,80,Liverpool
134744,A. Hutchinson,Canada,80,80,Beşiktaş JK
124635,M. Topal,Turkey,80,80,Fenerbahçe SK
112316,J. Mathieu,France,80,80,Sporting CP
111661,C. Kameni,Cameroon,80,80,Fenerbahçe SK
53914,P. Jagielka,England,80,80,Everton
52091,P. Evra,France,80,80,Olympique de Marseille
50542,J. Defoe,England,80,80,Bournemouth
48717,Júlio César,Brazil,80,80,SL Benfica
21146,M. Carrick,England,80,80,Manchester United
230977,M. Almirón,Paraguay,79,83,Atlanta United FC
230142,Oyarzabal,Spain,79,86,Real Sociedad
227476,Soares,Brazil,79,81,FC Porto
225647,M. Campaña,Uruguay,79,82,Independiente
225018,F. Andone,Romania,79,84,RC Deportivo de La Coruña
224334,M. Acuña,Argentina,79,82,Sporting CP
